"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000000001",4199.0054791403,-0.497460188665922,0.407833126939269,-1.21976405496849,0.222554331302182,0.413826739291398
"ENSMUSG00000000028",385.956524883006,0.957044768783196,0.195027385732295,4.90723272113633,9.23704065231373e-07,3.23913400737147e-05
"ENSMUSG00000000031",287.883187464879,0.260942531458452,0.508087809694332,0.513577626700857,0.607547325189059,0.754037032911794
"ENSMUSG00000000037",60.8573782717442,0.0480981952557976,0.364383865055071,0.131998696617723,0.894985322676811,0.941501268203831
"ENSMUSG00000000049",23.8086503337497,-1.95022738749583,0.850469666078788,-2.29311810318602,0.0218412064158559,0.0965901727777023
"ENSMUSG00000000056",218.626995488,-0.332627817041949,0.358381189721169,-0.92813971989083,0.353335098258831,0.543990987055384
"ENSMUSG00000000058",530.36173435111,-0.179097240214986,0.51763406125819,-0.345991992450541,0.729348732628169,0.839342579197257
"ENSMUSG00000000078",6460.67186310673,-1.1651137569695,0.42351553578918,-2.75105316927378,0.00594040006288375,0.0419504636853831
"ENSMUSG00000000085",649.426098404154,0.0234423354418855,0.196086662347471,0.119550892249597,0.90483892291946,0.946457289727619
"ENSMUSG00000000088",2827.54981444502,0.726003066547536,0.322701398024066,2.24976734217121,0.0244637181332237,0.10420870521693
"ENSMUSG00000000093",270.988453951902,1.11406427831622,0.311216352241728,3.579709967974,0.000343975769916162,0.00509311424029773
"ENSMUSG00000000094",11.6958682182053,-0.58212001955669,0.918377707960154,-0.633856870121184,0.526174234922195,0.693128651996224
"ENSMUSG00000000120",41.4402339391585,1.12307890273411,0.612064311155844,1.83490342806175,0.0665199996623859,0.195381233023712
"ENSMUSG00000000126",267.686555015565,-1.28196402990014,0.248656739350873,-5.15555714776422,2.52877901939052e-07,1.01676836939389e-05
"ENSMUSG00000000127",800.117871439003,-0.269557794330229,0.225798330542621,-1.19379888098574,0.232556649513657,0.425154555249572
"ENSMUSG00000000131",2163.44503062386,-0.389330422532015,0.232200387012707,-1.67670014482237,0.0936011322932463,0.241003799373693
"ENSMUSG00000000134",1607.87364519681,0.0917306853001461,0.14756894087409,0.621612412183764,0.534196757381375,0.699188602053472
"ENSMUSG00000000142",39.3037233680391,0.994821721630445,0.751807963056256,1.32323913887037,0.185755864047903,0.371033884944616
"ENSMUSG00000000148",466.760557880796,-0.256275469970641,0.238251952985684,-1.07564897898671,0.282084273635084,0.475903960460118
"ENSMUSG00000000149",2455.42308511012,0.100165282462017,0.117130617335857,0.855158836692593,0.392463220933712,0.581369530287665
"ENSMUSG00000000154",82.4703097196113,0.343909113703284,0.607925538564931,0.565709271755742,0.571591431323899,0.728251250233308
"ENSMUSG00000000159",12.3087005031851,-1.94255824132642,1.02849973069639,-1.88872994649315,0.0589280237903752,0.180989885188275
"ENSMUSG00000000167",24.4009014142257,0.229490855278295,0.614278557577128,0.373594116948288,0.708706311522103,0.826251130279625
"ENSMUSG00000000168",1524.54679159782,-0.319941254161182,0.339474684808782,-0.942459831257807,0.345957267348128,0.536362199419664
"ENSMUSG00000000171",2590.85699986798,0.388126439856575,0.271426468474323,1.42995059412672,0.152731199509673,0.328507057355757
"ENSMUSG00000000182",29.3018202345691,0.092032429323209,1.05256183352181,0.0874366012448632,0.930324477185107,0.961049051158635
"ENSMUSG00000000184",12249.9709817667,-0.431353277340224,0.241797198725829,-1.78394654534162,0.0744323515900833,0.209661182499803
"ENSMUSG00000000194",1801.59175372046,-0.446551189071583,0.200234361655303,-2.23014264574781,0.025737974440007,0.107396349178844
"ENSMUSG00000000223",54.527271043375,0.0245222148080356,0.539543368140649,0.0454499420362501,0.963748674099937,0.980542379643762
"ENSMUSG00000000244",11.957091874498,-0.0132710012326011,0.980112886003473,-0.0135402782905091,0.989196751113757,0.994228766093167
"ENSMUSG00000000247",351.867183656085,-1.47666264722323,0.734075205213731,-2.0115958647497,0.044262555676225,0.151513498612264
"ENSMUSG00000000253",213.880929831334,0.996553263318075,0.315124546830094,3.16241077803244,0.0015646867531474,0.0163080652802516
"ENSMUSG00000000266",903.289844049675,-1.34323451724663,0.51939093011063,-2.58617245580419,0.00970483601739607,0.0578350334794188
"ENSMUSG00000000275",2513.72151027513,0.0948716659808765,0.226903468268587,0.418114657765286,0.675863288610304,0.804026150991476
"ENSMUSG00000000276",284.055824855871,-0.154419892028591,0.259701323675051,-0.594605717997062,0.552107057018638,0.713529833501018
"ENSMUSG00000000278",4239.92106294244,-0.766241351683365,0.311247062752739,-2.46184283606263,0.0138225221913722,0.0718733543182333
"ENSMUSG00000000282",709.011426894152,-0.732250874272247,0.317526853724019,-2.30610691878265,0.0211046588126047,0.0944730766791432
"ENSMUSG00000000290",1041.67386993088,0.929090998399152,0.371446440949003,2.5012785047164,0.0123745821860512,0.0672730614404409
"ENSMUSG00000000295",456.489371966328,1.10402782769801,0.43813562017337,2.5198312505638,0.0117411107672974,0.0650219741859822
"ENSMUSG00000000296",108.31205596027,0.0847080331064508,0.315053867515058,0.268868412168919,0.788030945595239,0.879926387051077
"ENSMUSG00000000301",71.6667192771886,0.794026041051666,0.563082837214758,1.4101407263259,0.158498133780758,0.336344059154801
"ENSMUSG00000000303",44.5185508769494,-1.01483177794277,0.765446649220888,-1.32580341030394,0.184904823115685,0.369990866247492
"ENSMUSG00000000305",24.3887656810846,-1.10721401215337,0.675549531687333,-1.63898272475723,0.101216857544624,0.253179928856857
"ENSMUSG00000000317",104.729042911058,2.57913698738749,0.289257184956953,8.91641460097632,4.81627867734281e-19,1.26427315280249e-16
"ENSMUSG00000000318",6.1082717784914,3.36180076818747,1.47649590934713,2.27687780704654,0.0227935235052697,0.0994611717903896
"ENSMUSG00000000320",28.9120771905219,2.64075312316811,0.937395520782377,2.81711728360304,0.00484568271932054,0.0363277927244043
"ENSMUSG00000000325",15.9950723291293,-1.67016917702366,0.748600470186077,-2.23105547423516,0.0256774546324572,0.107208186519291
"ENSMUSG00000000326",20.6791662006467,-0.0322447218299818,0.515169659956957,-0.0625904907378977,0.950092601862987,0.973184210894274
"ENSMUSG00000000339",616.781137236165,-0.154443390820844,0.847678732902038,-0.182195665440497,0.855429174541541,0.919171638868674
"ENSMUSG00000000340",907.814360097306,0.0224541361011061,0.218040297068822,0.102981588279613,0.917977583676644,0.953712308253035
"ENSMUSG00000000346",2883.00284426309,-0.174076646803522,0.172080089033234,-1.01160249149977,0.311728154153713,0.504764630558342
"ENSMUSG00000000355",851.598689502799,0.637206383981662,0.2907915175322,2.19128257037656,0.0284313505609948,0.114091737619192
"ENSMUSG00000000359",399.23978559627,1.19607278485398,0.395227505595846,3.02628933441961,0.00247575272931109,0.0227573568789852
"ENSMUSG00000000365",72.5755512532662,-0.699352188336332,0.675763476840009,-1.03490675703077,0.300712458730339,0.49408836128004
"ENSMUSG00000000374",1367.27949546494,-0.895989164079454,0.348012437646728,-2.57458948920953,0.0100359120973233,0.0588476302125065
"ENSMUSG00000000378",1446.00782974352,0.290384262051505,0.23843623763764,1.21786967001557,0.22327350358934,0.414660463761281
"ENSMUSG00000000384",1341.06011180564,0.648121252789715,0.323758001826092,2.00186944920007,0.0452987741850163,0.153572873736102
"ENSMUSG00000000385",4.05561902324052,-2.37313845322051,1.24957943942961,-1.89914972857089,0.057544792303945,0.178221061618909
"ENSMUSG00000000386",4.67827012942452,1.63322689435593,0.881176676756053,1.85346132896806,0.0638162639846863,0.190083295626294
"ENSMUSG00000000392",597.226759212372,1.6820610428411,0.157446853781401,10.6833576057129,1.217855485178e-26,6.99315454379555e-24
"ENSMUSG00000000399",1738.77509509797,0.464956806081668,0.269783142055414,1.72344647830577,0.084807816019555,0.226762915688159
"ENSMUSG00000000409",32.2735039892463,0.822593265839804,0.637814183867277,1.28970676201045,0.197152490905118,0.384287368238204
"ENSMUSG00000000416",21.5555763756768,-1.66959815325227,0.670115924770032,-2.49150645662575,0.0127202655107329,0.0684435706534257
"ENSMUSG00000000420",2763.21442113776,-0.395208536548684,0.1973509109007,-2.00256758251062,0.0452237223288855,0.1534316650283
"ENSMUSG00000000439",412.934370286073,0.155015361596385,0.226291711282091,0.685024478882242,0.493328474223695,0.666795683641172
"ENSMUSG00000000440",455.58280673467,1.18574259729091,0.451180000064423,2.62809210763244,0.00858652626137597,0.0531759357284957
"ENSMUSG00000000441",915.873313277805,-0.82272652614352,0.943983364962646,-0.871547695309309,0.383455175472834,0.572984374181778
"ENSMUSG00000000486",61.4096138682501,-0.00719461555246272,0.268557032370742,-0.0267898981789856,0.978627310413139,0.988906556799462
"ENSMUSG00000000489",401.910857651783,1.50083245900152,0.196228564622353,7.64838932542725,2.03512263201234e-14,2.97260172499876e-12
